Age,Gender,Height,Weight,NonAlcoholicDrink,AlcoholicDrink
19.0,Male,69.98806201550389,208.9402985074627,Coffee,Not Applicable
23.0,Female,64.5,128.7,Water,Liquor
21.0,Male,71.47,182.95,Coffee,Beer
32.0,Female,57.3,103.4,Green Tea,Wine
32.0,Female,53.8,138.4,Black Tea,Liquor
20.0,Male,73.38,204.59,Pepsi,Not Applicable
20.0,Male,70.46,225.25,Coffee,Not Applicable
32.0,Female,54.1,157.8,Black Tea,Liquor
49.0,Female,64.8,152.6,Gatorade,Beer
45.0,Male,69.98806201550389,196.55,Coffee,Liquor
20.0,Female,61.1,176.7,Apple Juice,Not Applicable
22.0,Male,69.71,201.68,Apple Juice,Liquor
24.0,Male,64.78,230.45,Apple Juice,Liquor
24.0,Male,65.67,192.86,Water,Beer
20.0,Male,67.15,209.77,Pepsi,Not Applicable
22.0,Male,69.98806201550389,213.98,Black Tea,Liquor
23.0,Female,59.6,146.4,Water,Liquor
18.0,Female,62.6,174.3,Black Tea,Not Applicable
29.0,Female,55.3,140.4,Green Tea,None
45.0,Female,58.9,132.7,Dr. Pepper,Beer
23.0,Female,59.8,134.4,Apple Juice,Unknown
23.0,Female,64.6,155.8,Apple Juice,Beer
23.0,Female,62.8,142.8,Black Tea,Unknown
20.0,Female,55.1,172.8,Green Tea,Not Applicable
48.0,Female,58.3,146.4,Coke,Liquor
23.0,Male,73.48,233.47,Coffee,Liquor
21.0,Female,53.5,143.4,Water,Beer
32.0,Male,69.01,220.31,Coffee,Liquor
20.0,Male,71.0,208.9402985074627,Black Tea,Not Applicable
23.0,Male,75.5,228.67,Dr. Pepper,Beer
45.0,Male,62.16,209.06,Gatorade,Beer
23.0,Female,58.3,94.4,Black Tea,Liquor
23.0,Male,69.98806201550389,214.48,Black Tea,Liquor
19.0,Female,54.0,150.6,Green Tea,Not Applicable
23.0,Male,72.15,231.51,Black Tea,Wine
24.0,Male,73.27,202.37,Green Tea,Wine
19.0,Female,55.5,118.7,Coffee,Not Applicable
47.0,Male,73.84,210.08,Red Bull,Liquor
23.0,Female,60.9,136.4,Black Tea,Beer
47.0,Female,56.0,115.4,Red Bull,Beer
18.0,Female,66.1,118.4,Dr. Pepper,Not Applicable
23.0,Female,53.9,145.6,Coffee,Unknown
23.0,Female,58.7,151.4,Green Tea,Unknown
24.0,Male,66.03,221.6,Water,Liquor
23.0,Female,59.2,143.9,Pepsi,Beer
22.0,Female,57.4,139.9,Coffee,Wine
18.0,Male,70.94,209.19,Black Tea,Not Applicable
22.0,Female,55.8,111.0,Black Tea,Wine
20.0,Male,72.9,208.9402985074627,Black Tea,Not Applicable
22.0,Male,69.98806201550389,197.0,Coffee,Liquor
18.0,Female,57.3,165.9,Black Tea,Not Applicable
23.0,Female,61.9,145.7,Coffee,Liquor
23.0,Female,58.9,173.3,Coffee,Wine
18.0,Male,71.87,218.54,Apple Juice,Not Applicable
23.0,Male,72.24,212.82,Black Tea,Beer
47.0,Female,57.3,196.3,Pepsi,Beer
32.0,Female,59.1,95.5,Water,Liquor
60.0,Female,62.5,114.9,Red Bull,Liquor
49.0,Female,62.0,165.7,Dr. Pepper,Liquor
32.0,Male,70.09,208.52,Coke,None
20.0,Female,55.8,142.8,Apple Juice,Not Applicable
23.0,Male,67.87,214.37,Water,Liquor
22.0,Male,77.34,208.9402985074627,Apple Juice,None
19.0,Male,73.06,210.0,Pepsi,Not Applicable
21.0,Female,56.8,148.4,Apple Juice,Beer
18.0,Female,59.8,172.5,Coke,Not Applicable
21.0,Male,69.72,208.9402985074627,Apple Juice,Liquor
60.0,Female,64.5,154.7,Coke,Liquor
23.0,Female,63.2,156.0,Black Tea,Unknown
18.0,Male,69.98806201550389,192.98,Green Tea,Not Applicable
29.0,Female,61.0,165.2,Green Tea,Liquor
23.0,Female,61.4,172.3,Coffee,Liquor
21.0,Male,72.8,205.93,Green Tea,Liquor
18.0,Male,69.98806201550389,206.55,Red Bull,Not Applicable
19.0,Male,69.16,216.56,Coke,Not Applicable
23.0,Male,69.58,201.38,Pepsi,Beer
21.0,Female,61.2,191.5,Black Tea,Beer
22.0,Female,60.5,113.4,Green Tea,Liquor
18.0,Female,61.6,142.0,Apple Juice,Not Applicable
20.0,Male,68.61,206.05,Red Bull,Not Applicable
21.0,Male,67.84,208.9402985074627,Black Tea,Liquor
23.0,Male,69.73,216.1,Apple Juice,None
47.0,Female,53.5,136.5,Dr. Pepper,Liquor
23.0,Female,65.8,189.7,Apple Juice,Beer
24.0,Male,67.3,229.97,Black Tea,Liquor
19.0,Female,61.8,134.4,Apple Juice,Not Applicable
29.0,Male,69.98806201550389,218.8,Dr. Pepper,Liquor
33.0,Female,53.5,158.2,Coffee,Wine
