subcategory_id,source,visits,subcategory_name,category_id,category_name
cf2e61c7af,direct,501165,Cellphones,09f279a643,Electronics
0cd903d1cc,direct,126342,Laptops,3509869a61,Computers
ef35bc88a7,direct,95626,TV sets ,09f279a643,Electronics
6ff9f4014c,direct,75680,Tablets ,3509869a61,Computers
72bc238e4d,direct,64435,Headphones and headsets,09f279a643,Electronics
88c78ea685,direct,39638,Tires ,65922fa39c,Automotive
179bfacf4a,direct,31007,Smart watches and bands ,09f279a643,Electronics
b0fb8f259a,direct,30324,Monitors ,3509869a61,Computers
3c67eb2d90,direct,25878,Watches,6074ad29ac,"Clothing, shoes and accessories"
24e6c815c6,direct,25276,Medications and dietary supplements,10a493e03b,Health
00fd6e5a87,direct,22064,Washing machines ,5a0d8ac946,Household equipment
29c9b62225,direct,20920,Refrigerator,5a0d8ac946,Household equipment
3cc6f62679,direct,20886,"Video cards 
",3509869a61,Computers
c4412ce45c,direct,19614,Printers and MFPs,3509869a61,Computers
4a57f562b8,direct,18079,Strollers ,7dbac4c1a3,Babies and kids
63d35150a7,direct,17616,Wi-Fi and Bluetooth equipment,3509869a61,Computers
fdabd3c725,direct,17167,Vacuum cleaners,5a0d8ac946,Household equipment
08593bd62f,direct,16009,Bikes,ae99947659,Sports and outdoors
5835164e67,direct,15377,Internal hard drives ,3509869a61,Computers
5c5c31b04a,direct,15315,Motherboards,3509869a61,Computers
d891b3c5d5,direct,15167,Dashboard cameras,65922fa39c,Automotive
ffa1fc88a2,direct,14776,Cameras ,09f279a643,Electronics
8f30c6ac97,direct,13836,Coffee machines,5a0d8ac946,Household equipment
eb317da761,direct,13778,Perfumery products,655ccc3c49,Beauty and personal care
01f8276040,direct,12509,Processors (CPU),3509869a61,Computers
18436f1c4c,direct,12497,Cooking panels ,5a0d8ac946,Household equipment
389068f27f,direct,12274,Electric stoves ,5a0d8ac946,Household equipment
79164a43ea,direct,11141,Wheel disks,65922fa39c,Automotive
367be1ab13,direct,10552,Portable speakers,09f279a643,Electronics
a659a61627,direct,10517,Ovens,5a0d8ac946,Household equipment
6e76227536,direct,10440,Microwaves ,5a0d8ac946,Household equipment
9fcd5b4da1,direct,10338,Air purifiers and air cleaners,5a0d8ac946,Household equipment
2298383fb9,direct,10271,Building kits ,7dbac4c1a3,Babies and kids
defb7d72ad,direct,10252,PC cases,3509869a61,Computers
ef9147dd31,direct,10132,Electric kettles,5a0d8ac946,Household equipment
fa2adaf808,direct,9902,Dishwashers,5a0d8ac946,Household equipment
3a1c1d9d93,direct,9532,Dolls,7dbac4c1a3,Babies and kids
491efc79fe,direct,9377,Memory modules ,3509869a61,Computers
686530e576,direct,9121,Scooters,ae99947659,Sports and outdoors
1daba56cfb,direct,9083,Robot vacuums,5a0d8ac946,Household equipment
f71f65d4a0,direct,8840,Water heaters ,5a0d8ac946,Household equipment
982e97b853,direct,8603,Air conditioners,5a0d8ac946,Household equipment
243461c0d7,direct,8449,Cooker hoods,5a0d8ac946,Household equipment
b15460317a,direct,8445,Screwdrivers,394f20d8fa,Construction and repair
93462e5a22,direct,8397,Blenders,5a0d8ac946,Household equipment
6733b69039,direct,7783,Car radios,65922fa39c,Automotive
d7c95fcff5,direct,7702,Computer mice,3509869a61,Computers
306d06b2be,direct,7516,Game consoles,09f279a643,Electronics
eac321b7e4,direct,7484,Stick vacuums,5a0d8ac946,Household equipment
0386591df8,direct,7343,Engine oils,65922fa39c,Automotive
ecbc481196,direct,7296,Multi-cookers,5a0d8ac946,Household equipment
55b273216e,direct,7055,Coolers and cooling systems,3509869a61,Computers
8327ffc6de,direct,6933,Lenses,09f279a643,Electronics
4724731825,direct,6633,Mixers,394f20d8fa,Construction and repair
3a128763c7,direct,6533,Heating boilers,394f20d8fa,Construction and repair
f8470c25b0,direct,6468,Tool kits and equipment,394f20d8fa,Construction and repair
a56b5d7c39,direct,6275,TV-tuners,09f279a643,Electronics
012c162f00,direct,6224,Keyboards,3509869a61,Computers
c3f6168434,direct,6208,Computer chairs ,dafb4d11f4,Home improvement
8deabc366d,direct,6175,Welding machines,394f20d8fa,Construction and repair
48b2baf4d6,direct,6146,Portable charges,09f279a643,Electronics
9d2ff14868,direct,6086,Solid-state drives,3509869a61,Computers
9d6e430420,direct,6008,Speakers ,09f279a643,Electronics
41b094775c,direct,5915,Car speakers ,65922fa39c,Automotive
a7aa6eee66,direct,5852,Hair clippers,5a0d8ac946,Household equipment
ddacc21158,direct,5821,Line adapters ,3509869a61,Computers
63aca7789e,direct,5806,Car seats ,7dbac4c1a3,Babies and kids
d3d8f28b19,direct,5729,Hair dryers,5a0d8ac946,Household equipment
c928d71a8a,direct,5675,Water pumps,394f20d8fa,Construction and repair
ed6f1acf48,direct,5520,Sewing machines,5a0d8ac946,Household equipment
4e1dec4e7d,direct,5421,Bathtubs ,394f20d8fa,Construction and repair
4fcbe766e1,direct,5389,Tillers and cultivators,bfd01f6342,Gardening
bfb5141f68,direct,5348,Computer headsets,3509869a61,Computers
92b821ce34,direct,5287,Electric grills and skewers,5a0d8ac946,Household equipment
aebee285e0,direct,5244,Electric vehicles,7dbac4c1a3,Babies and kids
7e4fd06cd0,direct,5123,Sneakers ,6074ad29ac,"Clothing, shoes and accessories"
54546a9bde,direct,4973,Games for consoles and PCs,09f279a643,Electronics
